invID,resID
14905,539363
14905,539445
14905,538885
14905,542781
14905,542297
14923,541399
14923,542390
14923,543680
14923,541006
14923,542089
14923,540843
14923,543834
14923,542670
14923,538528
14923,539594
14923,547619
14923,557035
14923,550202
14923,539026
14923,538543
14923,542781
14923,540596
14923,541806
14923,543984
14923,543970
14927,542189
14927,538733
14954,539538
14954,539420
14954,537991
14954,538620
14954,538722
14954,540842
14954,539893
14975,538825
14975,556883
14975,555366
14975,544760
14975,539577
14975,545266
14975,544664
14975,544665
14975,544677
14975,544641
14975,539224
14975,546667
14975,544615
14975,546669
14975,544549
14975,544551
14975,544553
14975,539277
14975,539032
14975,544476
14975,544474
14975,538985
14975,544417
14975,544424
14975,540569
14975,539077
14975,544369
14975,543573
14975,542168
14975,540942
14995,546392
14995,537991
14995,540718
14995,538932
14995,538577
14995,543678
14995,540663
14995,542070
14995,540729
14995,542775
14995,538737
14995,539610
14995,543928
14995,538711
14995,540846
14995,541387
14995,539750
14995,538096
14995,544579
14999,548959
14999,539512
14999,553361
14999,538410
14999,539219
14999,542736
14999,539965
14999,541043
14999,542549
14999,539366
14999,543880
14999,537887
14999,544517
14999,542897
14999,539690
14999,538500
14999,543216
14999,538552
14999,541873
14999,542804
14999,541703
14999,542576
14999,541620
14999,556089
14999,548849
14999,546887
14999,539054
14999,541199
14999,537956
14999,539998
14999,538812
14999,538946
14999,540271
14999,542080
14999,542239
14999,543673
14999,541975
14999,542846
15001,560656
15001,545243
15001,556234
15001,546976
15001,544737
15001,539545
15001,539173
15001,539214
15001,544603
15001,544604
15001,544527
15001,539348
15001,544511
15001,538818
15001,544431
15001,541705
15001,538886
15001,544142
15001,544325
15001,538707
15001,539129
15001,538673
15001,543913
15001,539717
15001,543887
15001,538852
15001,543227
15001,539995
15013,537553
15013,539448
15013,539337
15013,538954
15013,538908
15013,543355
15013,542946
15013,541342
15013,543418
15021,541673
15024,560241
15024,542999
15024,543839
15024,538562
15024,540762
15024,540902
15024,544083
15024,542285
15024,544421
15026,543536
15026,544471
15026,543276
15026,544442
15026,544422
15026,544396
15026,544046
15026,544375
15026,540717
15026,544323
15026,538822
15089,560597
15089,547255
15089,538420
15089,539488
15089,541002
15089,540118
15089,542519
15089,543369
15089,541871
15089,541203
15089,540202
15089,537903
15089,541498
15089,546863
15089,543671
15089,543885
15089,542563
15089,538492
15089,542335
15089,543416
15089,543284
15089,542873
15089,539845
15089,544577
15089,539419
15089,537991
15089,539011
15089,543381
15089,543689
15106,544671
15106,546511
15106,538289
15106,538959
15106,538629
15106,538877
