invID,resID
14905,494475
14905,477601
14905,423841
14905,391524
14905,359300
14905,359310
14905,359311
14905,359312
14905,359313
14905,320841
14905,494845
14905,494841
14905,494631
14905,477603
14905,477602
14905,477589
14905,477591
14905,477593
14905,477594
14905,477599
14905,477598
14905,477597
14905,423675
14905,423887
14905,423681
14905,423831
14905,423837
14905,374305
14905,359292
14905,359296
14905,359301
14905,359304
14905,359302
14905,359307
14905,359308
14905,320855
14905,320852
14905,320847
14905,320846
14905,494630
14905,374304
14905,359315
14905,320863
14905,320867
14905,477600
14905,423842
14905,423889
14905,424352
14905,381051
14905,381049
14905,381050
14905,381052
14905,359331
14905,381053
14905,320871
14905,320870
14923,412141
14923,359049
14923,524726
14923,439204
14923,390289
14923,372904
14923,338600
14923,424449
14923,394333
14923,354679
14923,354203
14927,557025
14927,557024
14927,557026
14927,535252
14927,555316
14927,555610
14927,555609
14927,532722
14927,525506
14927,525507
14927,489347
14927,481373
14927,489575
14927,479940
14927,479939
14927,459593
14927,453397
14927,443335
14927,441742
14927,434375
14927,420156
14927,387912
14927,387913
14927,387911
14927,388044
14927,558463
14927,532938
14927,525513
14927,525514
14927,516448
14927,479503
14927,459602
14927,459588
14927,459586
14927,459589
14927,459585
14927,444524
14927,459599
14927,442801
14927,434378
14927,420154
14927,420153
14927,390073
14927,387909
14927,387906
14927,387905
14927,388038
14927,531432
14927,483983
14927,459584
14927,444525
14927,420139
14927,387910
14927,558547
14927,545040
14927,525531
14927,525530
14927,496456
14927,455183
14927,455184
14927,441743
14927,434470
14927,422877
14927,420157
14927,420158
14927,397650
14927,387917
14927,387916
14927,396249
14927,397678
14954,560749
14954,558696
14954,495821
14954,446130
14954,428734
14954,427266
14954,414425
14954,428732
14954,320702
14954,320709
14954,320707
14954,484842
14954,465325
14954,347303
14954,320688
14975,557591
14975,552602
14975,554730
14975,552255
14975,530036
14975,535831
14975,527507
14975,526631
14975,524461
14975,520442
14975,459986
14975,438419
14975,398649
14975,393032
14975,385889
14975,375228
14975,395851
14975,346180
14975,345112
14975,344556
14975,344555
14975,344557
14975,343960
14975,350540
14975,319495
14975,392908
14975,521388
14975,350856
14975,416005
14975,325197
14975,327375
14995,558887
14995,554597
14995,554579
14995,547529
14995,534044
14995,498195
14995,522957
14995,521351
14995,479134
14995,446320
14995,442816
14995,445505
14995,428601
14995,494610
14995,439169
14995,423349
14995,494605
14995,413248
14995,384808
14995,388793
14995,388795
14995,388794
14995,345230
14995,345119
14995,351983
14995,351985
14995,415107
14995,343913
14995,343849
14995,343853
14995,343865
14995,340021
14995,319476
14995,321772
14995,319733
14995,439175
14995,321784
14995,321782
14995,321779
14995,491599
