invID,resID
14905,381054
14905,374388
14923,482214
14923,445266
14923,445361
14923,418257
14923,386693
14923,339907
14954,519788
14954,444341
14954,345481
14975,327343
14975,445124
14975,559456
14975,456061
14995,445316
14995,444226
14995,345452
14999,427855
14999,362943
14999,362946
14999,324079
14999,445699
14999,354188
14999,354189
14999,339686
14999,519816
14999,482022
14999,444362
14999,426369
14999,345434
14999,319305
14999,339691
15001,412371
15001,445734
15001,444123
15013,445692
15013,552544
15013,496342
15013,455966
15013,445250
15013,387127
15021,445158
15021,444298
15021,427974
15024,393784
15024,364597
15024,325032
15024,325033
15024,393789
15024,325036
15024,325037
15024,519784
15024,339898
15026,445765
15089,559563
15089,418281
15089,349960
15089,349956
15106,372989
15106,559503
15106,445167
15106,445268
15149,348223
15149,445111
15149,495565
15149,495564
15149,426458
15149,386559
15149,374395
15183,427310
15183,526026
15183,526027
15183,388841
15183,445782
15183,427728
15183,559562
15183,482457
15186,387576
15194,353045
15206,445253
15206,426358
15206,374389
15213,423891
15213,420426
15213,349078
15213,349079
15213,480628
15213,427536
15213,389438
15213,347946
15213,553064
15213,553347
15213,534465
15213,519637
15213,519660
15213,482715
15213,444176
15213,444055
15213,444050
15213,374428
15213,345425
15225,320217
15225,493529
15225,482162
15233,527642
15233,519632
15233,319243
15238,456858
15238,456865
15238,458942
15238,365128
15238,389865
15238,389846
15238,389852
15238,553343
15238,519778
15238,519670
15238,444051
15238,374391
15238,374480
15238,359129
15262,445324
15284,559433
15284,482166
15290,445274
15290,374460
15291,496961
15291,496958
15291,496963
15291,456378
15291,456377
15291,456375
15291,456376
15291,420874
15291,420873
15291,383328
15291,383344
15291,333168
15291,321268
15291,321263
15291,559570
15291,553348
15291,519576
15291,482626
15291,444423
15291,381621
15291,339974
15292,519791
15292,456143
15292,444161
15292,345426
15317,202446
15317,444338
15317,359240
15319,462019
15319,445118
15319,321799
15319,559569
15319,534597
15319,534425
15319,495897
15319,495890
15319,487709
15319,482021
15319,456158
15319,445308
15319,424087
15319,389902
15319,319307
15319,339902
15341,482507
15355,445767
15355,559385
15355,519562
15355,482482
15355,456440
15355,386581
15355,386548
15355,346901
15355,346910
15355,346924
15355,345428
15356,421517
15356,421518
15356,421519
15356,479758
15356,559470
15356,559530
15356,559464
15356,552570
15356,496537
15356,487694
15356,482719
15356,426625
15356,382412
15356,382414
15356,339970
15356,324065
15356,324066
15360,444302
15360,386698
15363,350235
15363,445700
15363,445059
15363,445109
15363,422272
15363,445060
15363,553354
15363,534457
15363,444313
15363,345480
15363,345461
15367,426732
15371,321754
15371,321719
15371,552546
15371,534444
15371,519843
15371,482153
15371,482156
15373,444300
15373,426475
15374,386972
15374,320513
15374,445782
15374,444126
15374,444117
15374,386675
15374,374401
15376,390098
15376,559390
15376,559413
15376,552566
15376,552569
15376,444212
15380,458942
15380,389865
15380,389846
15380,389852
15380,559443
15380,444051
15380,374480
15385,456600
15385,417502
15388,440770
15388,385451
15388,349845
15388,495451
15388,477336
15388,385450
15388,550996
15388,456148
15388,418274
15401,534541
15445,457618
15445,457619
15445,444277
15445,444276
15445,427710
15445,427711
15445,344266
15445,344265
15445,445318
15445,339932
15456,427571
15456,477340
15456,445688
15456,559515
15456,552561
15456,552704
15456,519780
15456,496317
15456,482485
15456,477076
15456,444116
15456,441334
15456,426448
15456,386649
15456,339956
15456,345406
15456,339964
15456,327167
15457,534478
15457,426309
15460,445687
15460,327343
15460,326393
15460,445124
15460,496340
15461,421332
15461,440632
15461,386525
15461,319286
15461,440631
15463,389033
15463,426458
15463,386559
15463,339905
15463,319284
15463,339894
15466,559502
15466,552899
15466,426621
15466,426372
15468,415377
15468,519661
15468,482714
15468,444301
15525,490480
15525,490483
15525,490482
15525,477332
15525,559497
15525,535861
15525,374485
15543,445699
15543,519826
15543,519816
15543,482022
15543,455492
15543,444362
15543,426369
15543,345434
15543,339691
15548,530404
15548,530403
15548,428273
15548,388883
15548,559460
15548,534528
15548,482491
15548,440826
15548,386541
15553,457418
15553,386229
15553,456032
15553,444312
15553,426385
15553,426607
15609,491293
15609,480652
15609,455667
15609,455664
15609,455665
15609,455666
15609,455668
15609,444134
15616,496728
15616,421294
15616,421291
15616,389233
15616,482667
15616,445319
15616,455757
15616,456138
15616,444386
15616,354713
15622,559389
15622,553282
15622,552902
15622,534608
15622,487716
15622,482160
15622,444398
15622,346917
15622,345502
15622,339926
15625,457547
15625,421619
15625,406243
15625,534450
15625,534462
15625,339928
15631,324305
15631,519790
15631,339971
15633,498044
15636,496274
15636,482261
15636,444319
15636,444307
15636,384698
15636,386514
15636,386586
15639,519539
15639,345492
15639,319292
15641,416703
15641,478597
15641,416707
15641,325101
15641,354210
15641,340010
15641,326475
15641,553060
15641,534448
15641,534529
15641,534553
15641,534560
15641,496328
15641,482487
15641,445300
15641,426743
15641,426634
15641,426737
15641,426616
15641,386580
15641,386470
15641,374407
15641,339973
15641,346931
15641,360787
15641,339918
15641,339921
15645,384500
15645,384499
15645,384501
15645,534477
15645,482154
15654,442679
15654,426820
15654,385456
15663,547738
15663,409091
15663,421280
15663,371192
15663,371193
15663,371191
15663,547741
15663,547740
15663,547739
15663,547835
15663,519806
15681,556832
15681,556830
15681,496920
15681,489728
15681,496919
15681,456082
15681,428752
15681,386576
15681,386575
15681,348149
15681,348148
15681,322485
15681,489729
15681,389712
